Animal.ID,weight,dam,sire,cross,kid
SRL11,166,s52427,d303,s52427xd303,1
SRL14,181,s52427,d303,s52427xd303,2
SRL15,172,s52427,d303,s52427xd303,3
SRL491,172,s52427,d303,s52427xd303,4
SRL30,173,s53697,d303,s53697xd303,1
SRL54,206,s53697,d303,s53697xd303,2
SRL51,224,s53697,d303,s53697xd303,3
SRL53,179,s53697,d303,s53697xd303,4
SRL33,186,s304784,d303,s304784xd303,1
SRL468,210,s304784,d303,s304784xd303,2
SRL32,151,s304784,d303,s304784xd303,3
SRL459,143,s304784,d303,s304784xd303,4
SRL37,153,s304784,d453,s304784xd453,1
SRL473,175,s304784,d453,s304784xd453,2
SRL23,164,s304784,d453,s304784xd453,3
SRL25,176,s304784,d453,s304784xd453,4
SRL39,154,s53697,d453,s53697xd453,1
SRL48,196,s53697,d453,s53697xd453,2
SRL45,168,s53697,d453,s53697xd453,3
SRL42,173,s53697,d453,s53697xd453,4
SRL445,159,s54134,d453,s54134xd453,1
SRL610,143,s54134,d453,s54134xd453,2
SRL448,157,s54134,d453,s54134xd453,3
SRL585,149,s54134,d453,s54134xd453,4
SRL454,155,s54156,d453,s54156xd453,1
SRL465,180,s54156,d453,s54156xd453,2
SRL618,153,s54156,d453,s54156xd453,3
SRL466,155,s54156,d453,s54156xd453,4
SRL472,160,s53393,d453,s53393xd453,1
SRL615,157,s53393,d453,s53393xd453,2
SRL582,150,s53393,d453,s53393xd453,3
SRL479,176,s53393,d453,s53393xd453,4
SRL580,193,s54156,d303,s54156xd303,1
SRL588,198,s54156,d303,s54156xd303,2
SRL450,173,s54156,d303,s54156xd303,3
SRL581,176,s54156,d303,s54156xd303,4
SRL606,162,s54134,d303,s54134xd303,1
SRL605,160,s54134,d303,s54134xd303,2
SRL571,219,s54134,d303,s54134xd303,3
SRL462,186,s54134,d303,s54134xd303,4
SRL8,170,s52427,d453,s52427xd453,1
SRL6,156,s52427,d453,s52427xd453,2
SRL9,161,s52427,d453,s52427xd453,3
SRL483,160,s54185,d453,s54185xd453,1
SRL480,156,s54185,d453,s54185xd453,2
SRL632,207,s54185,d453,s54185xd453,3
SRL633,157,s54185,d453,s54185xd453,4
SRL1,163,s54185,d303,s54185xd303,1
SRL500,157,s54185,d303,s54185xd303,2
