Animal.ID,weight,dam,sire,cross,kid
SRL508,181,s54185,d303,s54185xd303,3
SRL76,162,s54185,d303,s54185xd303,4
SRL100,216,s120371,d303,s120371xd303,1
SRL108,191,s120371,d303,s120371xd303,2
SRL556,201,s120371,d303,s120371xd303,3
SRL628,177,s120371,d303,s120371xd303,4
SRL530,152,s117343,d303,s117343xd303,1
SRL536,193,s117343,d303,s117343xd303,2
SRL537,199,s117343,d303,s117343xd303,3
SRL527,181,s117343,d303,s117343xd303,4
SRL548,154,s309140,d303,s309140xd303,1
SRL549,168,s304794,d453,s304794xd453,1
SRL504,201,s304794,d453,s304794xd453,2
SRL505,167,s304794,d453,s304794xd453,3
SRL81,155,s304794,d453,s304794xd453,4
SRL564,208,s312316,d303,s312316xd303,1
SRL629,215,s312316,d303,s312316xd303,2
SRL543,182,s312316,d303,s312316xd303,3
SRL552,152,s312316,d303,s312316xd303,4
SRL601,197,s305745,d303,s305745xd303,1
SRL501,159,s305745,d303,s305745xd303,2
SRL90,161,s305745,d303,s305745xd303,3
SRL622,187,s305745,d303,s305745xd303,4
SRL70,164,s304975,d303,s304975xd303,1
SRL77,164,s304975,d303,s304975xd303,2
SRL89,166,s304975,d303,s304975xd303,3
SRL79,157,s304975,d453,s304975xd453,1
SRL92,204,s304975,d453,s304975xd453,2
SRL525,154,s304975,d453,s304975xd453,3
SRL86,197,s309073,d303,s309073xd303,1
SRL495,164,s309073,d303,s309073xd303,2
SRL498,190,s309073,d303,s309073xd303,3
SRL66,164,s309073,d303,s309073xd303,4
SRL510,182,s305745,d453,s305745xd453,1
SRL514,180,s305745,d453,s305745xd453,2
SRL516,154,s305745,d453,s305745xd453,3
SRL596,141,s305745,d453,s305745xd453,4
SRL565,151,s309140,d453,s309140xd453,1
SRL566,158,s309140,d453,s309140xd453,2
SRL625,166,s309140,d453,s309140xd453,3
SRL94,183,s309140,d453,s309140xd453,4
SRL598,156,s304794,d303,s304794xd303,1
SRL513,146,s304794,d303,s304794xd303,2
SRL517,206,s304794,d303,s304794xd303,3
SRL561,156,s312316,d453,s312316xd453,1
SRL260,158,s312316,d453,s312316xd453,2
SRL264,175,s312316,d453,s312316xd453,3
SRL263,187,s312316,d453,s312316xd453,4
SRL115,157,s316331,d303,s316331xd303,1
SRL123,174,s316331,d303,s316331xd303,2
SRL130,218,s316331,d303,s316331xd303,3
SRL133,233,s316331,d303,s316331xd303,4
SRL118,156,s316331,d453,s316331xd453,1
SRL121,205,s316331,d453,s316331xd453,2
SRL125,181,s316331,d453,s316331xd453,3
SRL141,191,s316331,d453,s316331xd453,4
SRL135,189,s314117,d303,s314117xd303,1
SRL155,178,s314117,d303,s314117xd303,2
SRL136,167,s314117,d303,s314117xd303,3
SRL169,214,s314117,d303,s314117xd303,4
SRL152,181,s309035,d303,s309035xd303,1
SRL144,190,s309035,d303,s309035xd303,2
SRL143,156,s309035,d303,s309035xd303,3
SRL153,171,s309035,d303,s309035xd303,4
SRL159,171,s314117,d453,s314117xd453,1
SRL161,163,s314117,d453,s314117xd453,2
SRL163,186,s314117,d453,s314117xd453,3
SRL168,173,s314117,d453,s314117xd453,4
SRL171,159,s316318,d453,s316318xd453,1
SRL174,163,s316318,d453,s316318xd453,2
SRL258,177,s316318,d453,s316318xd453,3
SRL173,164,s316318,d453,s316318xd453,4
SRL182,161,s316318,d303,s316318xd303,1
SRL208,184,s316318,d303,s316318xd303,2
SRL178,218,s316318,d303,s316318xd303,3
SRL180,208,s316318,d303,s316318xd303,4
SRL187,189,s313506,d303,s313506xd303,1
SRL195,179,s313506,d303,s313506xd303,2
SRL2,147,s313506,d303,s313506xd303,3
SRL189,218,s316647,d303,s316647xd303,1
SRL191,170,s316647,d303,s316647xd303,2
SRL198,216,s316647,d303,s316647xd303,3
SRL205,149,s312158,d453,s312158xd453,1
SRL206,168,s312158,d453,s312158xd453,2
SRL210,222,s313498,d303,s313498xd303,1
SRL222,169,s313498,d303,s313498xd303,2
SRL228,170,s313498,d303,s313498xd303,3
SRL230,151,s313498,d303,s313498xd303,4
SRL219,161,s312158,d303,s312158xd303,1
SRL225,172,s312158,d303,s312158xd303,2
SRL237,174,s313662,d453,s313662xd453,1
SRL238,188,s313662,d453,s313662xd453,2
SRL240,207,s313662,d453,s313662xd453,3
SRL241,209,s313662,d453,s313662xd453,4
SRL246,171,s313662,d303,s313662xd303,1
SRL249,208,s313662,d303,s313662xd303,2
SRL149,193,s309035,d453,s309035xd453,1
SRL147,177,s309035,d453,s309035xd453,2
SRL151,150,s309035,d453,s309035xd453,3
SRL177,170,s316647,d453,s316647xd453,1
SRL184,163,s313506,d453,s313506xd453,1
SRL213,171,s313498,d453,s313498xd453,1
SRL214,170,s313498,d453,s313498xd453,2
SRL233,184,s313092,d453,s313092xd453,1
SRL234,193,s313092,d453,s313092xd453,2
SRL274,190,s317607,d303,s317607xd303,1
SRL369,219,s317607,d303,s317607xd303,2
SRL380,207,s317607,d303,s317607xd303,3
SRL272,153,s317607,d303,s317607xd303,4
SRL279,227,s318555,d453,s318555xd453,1
SRL281,208,s318555,d453,s318555xd453,2
SRL283,212,s318555,d453,s318555xd453,3
SRL288,152,s319237,d453,s319237xd453,1
SRL286,155,s319237,d453,s319237xd453,2
SRL290,167,s319237,d453,s319237xd453,3
SRL292,153,s319237,d453,s319237xd453,4
SRL311,218,s319237,d303,s319237xd303,1
SRL312,167,s319237,d303,s319237xd303,2
SRL316,192,s318838,d453,s318838xd453,1
SRL321,192,s318838,d453,s318838xd453,2
SRL318,213,s318838,d453,s318838xd453,3
SRL320,161,s318838,d453,s318838xd453,4
SRL333,161,s318054,d303,s318054xd303,1
SRL348,177,s318054,d303,s318054xd303,2
SRL351,171,s318054,d303,s318054xd303,3
SRL354,182,s318054,d303,s318054xd303,4
SRL357,216,s318823,d303,s318823xd303,1
SRL361,217,s318823,d303,s318823xd303,2
SRL358,209,s318823,d303,s318823xd303,3
SRL368,214,s317607,d453,s317607xd453,1
SRL385,175,s317607,d453,s317607xd453,2
SRL392,174,s317607,d453,s317607xd453,3
SRL395,188,s317607,d453,s317607xd453,4
SRL404,153,s319327,d453,s319327xd453,1
SRL401,164,s319327,d453,s319327xd453,2
SRL410,160,s319327,d453,s319327xd453,3
SRL407,178,s319327,d453,s319327xd453,4
SRL440,193,s318437,d303,s318437xd303,1
SRL431,167,s318437,d303,s318437xd303,2
SRL434,193,s318437,d303,s318437xd303,3
SRL267,173,s318823,d453,s318823xd453,1
SRL269,180,s318823,d453,s318823xd453,2
SRL305,160,s318054,d453,s318054xd453,1
SRL329,158,s318054,d453,s318054xd453,2
SRL303,159,s318054,d453,s318054xd453,3
SRL307,166,s318054,d453,s318054xd453,4
SRL325,201,s319105,d303,s319105xd303,1
SRL326,181,s319105,d303,s319105xd303,2
SRL327,181,s319105,d303,s319105xd303,3
