Animal.ID,weight,dam,sire,cross,kid
SRL358,209,d318823,s303,s303xd318823,3
SRL368,214,d317607,s453,s453xd317607,1
SRL385,175,d317607,s453,s453xd317607,2
SRL392,174,d317607,s453,s453xd317607,3
SRL395,188,d317607,s453,s453xd317607,4
SRL404,153,d319327,s453,s453xd319327,1
SRL401,164,d319327,s453,s453xd319327,2
SRL410,160,d319327,s453,s453xd319327,3
SRL407,178,d319327,s453,s453xd319327,4
SRL440,193,d318437,s303,s303xd318437,1
SRL431,167,d318437,s303,s303xd318437,2
SRL434,193,d318437,s303,s303xd318437,3
SRL267,173,d318823,s453,s453xd318823,1
SRL269,180,d318823,s453,s453xd318823,2
SRL305,160,d318054,s453,s453xd318054,1
SRL329,158,d318054,s453,s453xd318054,2
SRL303,159,d318054,s453,s453xd318054,3
SRL307,166,d318054,s453,s453xd318054,4
SRL325,201,d319105,s303,s303xd319105,1
SRL326,181,d319105,s303,s303xd319105,2
SRL327,181,d319105,s303,s303xd319105,3
